#Frame          side1        side2
     341      25.8692      26.4690
     342      26.0967      26.5726
     343      24.8658      25.9875
     344      25.5603      27.3191
     345      24.7133      27.0120
     346      24.6981      27.1780
     347      24.4502      26.2822
     348      24.3555      25.3955
     349      24.6258      27.4181
     350      25.2306      26.0656
     351      25.4059      25.7256
     352      25.9702      26.0461
     353      26.4880      25.1080
     354      26.1576      24.6683
     355      25.7695      25.7706
     356      25.8589      25.9645
     357      25.4605      26.4067
     358      25.2795      26.4579
     359      24.7140      26.5000
     360      24.9037      26.7494
     361      24.7733      26.0935
     362      25.0944      26.0069
     363      24.3215      25.7708
     364      24.0393      25.8378
     365      25.1749      26.6220
     366      24.8503      26.9093
     367      24.0425      26.6816
     368      23.9320      26.6694
     369      23.8238      26.5244
     370      24.0762      26.3031
     371      23.8669      27.7194
     372      24.4624      26.9700
     373      25.0550      26.7911
     374      25.3909      25.7765
     375      24.1463      26.9492
     376      23.9618      25.9317
     377      24.0396      27.3513
     378      24.5859      25.6856
     379      24.6505      26.4716
     380      25.5636      26.4366
     381      25.3348      26.6425
     382      24.6241      26.5161
     383      24.7915      27.4104
     384      25.6418      26.0223
     385      25.1319      27.0697
     386      24.7104      25.5803
     387      24.6941      25.6534
     388      24.6397      26.5095
     389      24.9900      25.6579
     390      25.7273      26.4970
     391      24.6089      26.4212
     392      24.7531      25.4603
     393      24.8177      26.4413
     394      25.6526      26.7613
     395      24.9719      26.4654
     396      25.3663      27.2101
     397      24.6691      27.5877
     398      25.4721      27.3980
     399      25.6779      27.7533
     400      25.4329      28.6201
     401      25.6414      28.3399
     402      25.6877      27.7699
     403      26.4340      26.8836
     404      26.0813      27.3358
     405      26.1447      26.6761
     406      25.7244      26.9366
     407      25.8232      27.5487
     408      25.4719      27.5180
     409      25.0564      27.3666
     410      25.2925      26.9904
     411      25.8037      27.1039
     412      27.3853      26.9493
     413      27.9425      26.0006
     414      27.3226      25.7920
     415      26.9768      26.8798
     416      25.2020      27.7360
     417      26.0048      28.1200
     418      26.5122      27.5859
     419      25.5254      26.1347
     420      25.9067      25.5119
     421      25.2306      25.9247
     422      25.4876      25.3091
     423      25.3696      25.5519
     424      25.1131      26.3141
     425      25.5416      26.0811
     426      24.9815      25.2187
     427      25.8603      26.3279
     428      25.1860      26.9395
     429      25.1176      26.7583
     430      26.5548      26.2964
     431      26.7666      26.7716
     432      26.5952      27.3952
     433      27.8355      27.7050
     434      26.7724      26.9912
     435      26.8159      27.2085
     436      27.3199      26.9366
     437      26.5945      27.6452
     438      25.7133      27.2188
     439      25.4658      26.1792
     440      26.0769      26.7661
     441      25.7909      26.7211
     442      26.4588      26.8374
     443      25.6561      26.0949
     444      25.2973      26.8324
     445      25.4787      27.2131
     446      26.5228      27.4671
     447      25.8985      27.1165
     448      25.8741      27.7414
     449      25.8657      27.5233
     450      24.8268      27.8484
     451      26.1975      27.4745
     452      26.1438      26.7682
     453      25.8870      26.6387
     454      26.9021      28.2362
     455      26.6609      27.0082
     456      26.9479      27.7783
     457      27.5270      26.9728
     458      27.0170      27.0457
     459      25.5574      26.7451
     460      26.3286      27.2924
     461      25.9634      26.1710
     462      26.2453      26.3463
     463      26.4113      26.5659
     464      26.5853      27.0038
     465      26.1488      26.8832
     466      26.3810      26.4554
     467      26.6737      26.1904
     468      27.0237      25.8919
     469      26.1845      26.0528
     470      25.4859      25.9628
     471      25.3366      26.8333
     472      25.3689      26.4626
     473      25.7710      26.4246
     474      25.2433      26.2237
     475      24.7775      26.3004
     476      24.7317      26.3271
     477      25.1079      25.6615
     478      24.7942      26.7209
     479      25.3628      25.9511
     480      25.4621      25.0550
     481      25.8192      26.0569
     482      25.8284      25.5861
     483      25.7039      26.1155
     484      25.5400      25.7500
     485      25.7857      26.3507
     486      25.9686      26.2445
     487      26.1475      25.4985
     488      26.1116      25.5671
     489      27.0182      25.9768
     490      26.7043      25.7512
     491      26.0669      25.3229
     492      25.8444      25.3230
     493      25.3877      25.7974
     494      25.7006      25.1410
     495      26.2139      25.0268
     496      25.9391      24.9641
     497      25.4948      25.6906
     498      25.1501      25.5466
     499      25.7642      25.0363
     500      25.7667      24.7099
     501      25.7462      24.6339
     502      25.5558      25.5777
     503      24.8237      25.6280
     504      24.6659      25.8557
     505      25.0790      26.1619
     506      26.2720      26.4532
     507      25.4426      25.7334
     508      25.0615      25.9841
     509      25.4964      26.0575
     510      25.1791      25.2574
     511      25.3074      25.8644
     512      24.5189      24.8061
     513      24.0033      24.2140
     514      24.2284      24.6010
     515      24.3577      25.5730
     516      25.2430      24.4185
     517      25.7619      24.8626
     518      27.3714      25.0214
     519      26.7534      25.5589
     520      26.0195      25.9631
     521      26.0726      25.8258
     522      26.9365      25.5460
     523      28.4037      25.3978
     524      27.5558      26.2347
     525      28.2409      26.5694
     526      28.4160      25.7564
     527      28.8911      25.7648
     528      28.7903      25.1830
     529      27.5014      25.5564
     530      27.3116      25.9414
     531      27.6005      25.6278
     532      27.9237      25.6111
     533      27.4903      25.5179
     534      26.9491      25.8595
     535      27.3316      26.0403
     536      27.5954      26.3833
     537      27.3480      26.4543
     538      26.3530      25.9848
     539      26.5336      25.7984
     540      27.4184      26.2379
     541      27.5778      27.1531
     542      27.6425      26.9732
     543      27.7989      27.2873
     544      26.1536      26.4500
     545      25.4842      26.2034
     546      25.5199      25.6523
     547      25.1477      25.7728
     548      25.1765      26.1557
     549      24.9653      25.4321
     550      25.7693      26.0183
     551      26.0571      26.8484
     552      26.6149      27.0974
     553      27.4988      26.7128
     554      26.5357      26.8619
     555      26.0202      27.3089
     556      26.3277      26.9733
     557      25.7551      27.2998
     558      27.0062      26.7755
     559      26.2309      26.2678
     560      27.5594      26.2931
     561      26.7989      26.0655
     562      27.3277      26.0725
     563      26.6327      27.3398
     564      26.3018      26.5373
     565      26.1758      26.9114
     566      26.4168      26.4303
     567      25.8840      25.8398
     568      27.2615      25.9971
     569      27.1507      25.4699
     570      26.5122      25.4633
     571      25.6517      25.3838
     572      27.0961      25.9486
     573      26.1451      25.6313
     574      26.7496      26.4579
     575      25.3762      25.5797
     576      24.8075      26.3955
     577      26.6419      26.8673
     578      26.1499      25.7242
     579      25.4144      26.5007
     580      26.3725      27.2140
     581      25.4239      26.2239
     582      25.9587      26.1686
     583      25.9583      25.1297
     584      26.6513      25.1128
     585      26.4785      25.7182
     586      25.8110      26.4357
     587      26.4078      27.5648
     588      26.3250      26.6489
     589      26.2173      26.8774
     590      26.8238      26.7376
     591      26.1980      26.7103
     592      25.6890      26.2215
     593      26.4591      26.1869
     594      25.4869      25.4491
     595      26.0128      26.2873
     596      26.1886      26.4910
     597      25.7824      27.0667
     598      26.5053      26.7891
     599      25.5330      26.2909
     600      25.5205      26.4910
     601      25.8613      26.6878
     602      26.0593      26.8099
     603      26.6103      26.6263
     604      26.0636      26.6081
     605      25.7579      26.6601
     606      25.5500      27.4606
     607      26.3117      26.9693
     608      27.0233      27.7114
     609      27.3878      27.8873
     610      27.0277      26.9587
     611      26.4826      27.3374
     612      26.4164      27.3970
     613      26.6562      27.6298
     614      27.3199      27.5869
     615      27.6824      27.2562
     616      25.9921      27.5758
     617      26.4298      27.6797
     618      26.3934      27.5086
     619      26.3724      28.1305
     620      25.4194      28.0827
     621      25.7487      28.1040
     622      26.0630      27.6185
     623      25.5030      27.7294
     624      25.6716      26.5012
     625      26.3895      26.2844
     626      25.8686      26.5214
     627      26.9097      27.0358
     628      26.7907      27.7548
     629      26.5511      26.1334
     630      26.1245      27.0103
     631      26.5777      27.7685
     632      26.6922      26.4206
     633      25.9775      26.1387
     634      25.8611      25.8732
     635      24.5509      26.9022
     636      24.1539      25.5702
     637      23.8176      25.8754
     638      24.8361      25.8152
     639      24.0526      25.9502
     640      25.1399      26.0903
     641      25.3038      26.7228
     642      25.7167      26.4488
     643      25.8252      27.0044
     644      26.5442      27.1547
     645      26.6553      27.0557
     646      25.6892      27.7389
     647      25.3515      26.7057
     648      24.2196      27.1257
     649      25.1567      27.0131
     650      25.1631      27.4875
     651      24.8777      26.9668
     652      25.5894      27.8980
     653      25.0936      26.9589
     654      25.1020      27.8709
     655      25.1201      28.0048
     656      25.2796      27.0537
     657      25.4652      26.5585
     658      25.2408      27.2540
     659      25.4868      26.9312
     660      25.3781      28.0362
     661      25.4323      27.8531
     662      25.1133      26.8743
     663      24.8069      27.4887
     664      24.9523      27.5068
     665      24.2720      26.3547
     666      25.3558      26.9401
     667      25.5916      26.8179
     668      25.7042      26.2603
     669      24.5012      26.2529
     670      24.2213      26.8065
     671      25.1891      26.5623
     672      25.4317      26.7236
     673      25.4535      27.0753
     674      24.7641      27.7043
     675      25.5772      28.4995
     676      25.7249      28.0554
     677      25.6238      27.3576
     678      25.5690      26.6010
     679      24.8299      27.4379
     680      25.2135      27.0507
     681      24.7872      27.7409
     682      25.3626      28.1840
     683      25.4927      27.8583
     684      25.7890      28.4016
     685      26.4292      28.2108
     686      26.1929      28.2575
     687      26.4174      28.7401
     688      25.7086      28.4857
     689      26.6525      28.9156
     690      26.1933      29.5091
     691      26.5254      28.9489
     692      26.5159      28.6691
     693      25.7400      28.7623
     694      25.6938      28.6377
     695      26.0256      29.1004
     696      27.0608      27.1740
     697      25.9921      27.1153
     698      26.5626      26.4808
     699      27.2842      26.1201
     700      26.5027      27.5521
     701      26.7983      27.4814
     702      26.4454      27.0732
     703      26.1551      27.5540
     704      26.3010      26.1210
     705      26.3288      25.7554
     706      26.3947      26.1571
     707      24.4230      25.8775
     708      26.2640      26.5295
     709      24.6374      27.1092
     710      25.3835      27.5773
     711      25.4218      27.6497
     712      25.2830      27.3066
     713      25.6550      27.5226
     714      25.3281      28.0626
     715      26.1146      27.8160
     716      25.6438      27.4638
     717      25.6204      27.6002
     718      26.0361      28.1180
     719      26.3832      27.9037
     720      26.0142      27.8360
     721      26.3578      26.5658
     722      27.1011      26.3445
     723      26.0120      27.1361
     724      26.8858      27.2928
     725      26.4039      26.7088
     726      27.1989      28.0371
     727      27.1618      28.5837
     728      26.1437      27.2564
     729      26.5239      27.1119
     730      26.9116      26.6917
     731      26.6427      27.2041
     732      27.0105      26.4724
     733      26.7789      26.9602
     734      25.8771      27.0654
     735      25.6727      27.3735
     736      25.4411      27.6787
     737      25.8335      26.6572
     738      25.8615      26.8798
     739      25.4286      26.9696
     740      25.1077      27.3676
     741      24.9955      26.5614
     742      25.8997      25.9874
     743      25.8521      26.1858
     744      27.7867      26.5079
     745      26.4322      26.4820
     746      26.0283      26.6503
     747      26.3714      27.4986
     748      26.1963      27.4857
     749      26.6732      27.0889
     750      25.4217      27.8054
     751      24.3897      28.0246
     752      24.9921      27.9510
     753      25.3922      27.0525
     754      25.3122      26.4801
     755      24.1639      26.9163
     756      24.6264      26.6343
     757      25.9592      27.0489
     758      25.6354      26.4792
     759      26.0836      27.6273
     760      26.0599      26.5402
     761      26.4761      26.7742
     762      26.9858      27.8055
     763      27.2751      27.5718
     764      26.2224      27.5327
     765      26.9595      27.6879
     766      26.3162      27.9202
     767      26.4718      27.5912
     768      26.9627      27.5666
     769      26.6839      27.9242
     770      27.8409      28.1511
     771      27.3296      28.1073
     772      27.0196      26.9889
     773      25.9962      27.7807
     774      26.1455      27.2903
     775      27.2762      26.5394
     776      25.5875      27.0012
     777      26.2423      26.6554
     778      26.2047      27.1800
     779      26.9006      27.7186
     780      25.9313      28.3843
     781      25.7618      27.1902
     782      25.7189      26.3888
     783      25.5475      25.7362
     784      25.6136      25.8801
     785      26.0323      26.4189
     786      25.1429      27.8814
     787      25.7099      27.8328
     788      25.8497      28.1397
     789      25.4504      27.8986
     790      25.4747      27.7542
     791      26.0814      26.9109
     792      26.0838      27.9692
     793      26.3658      27.7653
     794      26.5148      28.1099
     795      26.9360      27.9603
     796      26.2169      28.4748
     797      26.7795      28.0181
     798      25.4822      27.2896
     799      24.8177      26.9332
     800      25.2540      26.7025
     801      25.1283      27.5380
     802      25.6207      26.9775
     803      25.6683      27.8647
     804      26.6268      25.9920
     805      25.9740      27.2450
     806      25.5184      26.5944
     807      25.5550      26.9744
     808      26.0540      26.9657
     809      26.7703      26.3320
     810      25.5354      27.2982
     811      25.6417      26.6327
     812      25.4094      26.9999
     813      26.3274      27.6963
     814      25.5405      28.3784
     815      26.3372      28.5169
     816      25.7494      29.0528
     817      25.9530      30.1878
     818      26.2619      29.5950
